topic,question,option1,option2,option3,option4,answer
Legend of Zelda: Ocarina of Time,"Which of these is the boss of the spirit temple","Twinrova","Gohma","King Dodongo","Barinade","Twinrova"
Legend of Zelda: Ocarina of Time,"What creature do gibdos become aftering being touched by fire","Redeads","Bokoblins","Moblins","Zombies","Redeads"
Legend of Zelda: Ocarina of Time,"What need you collect to get larger wallets","Golden Skulltula tokens","Money","Golden Skalltula Tokens","Rupees","Golden Skulltula Tokens"
Legend of Zelda: Ocarina of Time,"Where does the bolero of fire take you","Death Mountain","Zora's domain","Kokiri Forest","Lon Lon Ranch","Death Mountain"
Legend of Zelda: Ocarina of Time,"What is the name of princess Zelda's persona","Sheik","Tetra","Impa","Adlez","Sheik"
Legend of Zelda: Ocarina of Time,"Who is Sheik in reality","Zelda","Impa","Tetra","Adlez","Zelda"
Legend of Zelda: Ocarina of Time,"What part of the triforce does Zelda hold","Wisdom","Courage","Power","Determination","Wisdom"
Legend of Zelda: Ocarina of Time,"What part of the triforce does Link hold","Wisdom","Courage","Power","Determination","Courage"
Legend of Zelda: Ocarina of Time,"What part of the triforce did Gannon take ","Wisdom","Courage","Power","Determination","Power"
Legend of Zelda: Ocarina of Time,"What is the name of the girl who teaches you Epona's song","Malon","Cremia","Romani","Saria","Malon"
Legend of Zelda: Ocarina of Time,"What is the name of your childhood friend","Saria","Malon","Zelda","Navi","Saria"
Legend of Zelda: Ocarina of Time,"What object besides the celestial stones is needed to open the door of time","Ocarina of Time","Mask of Time","Stick of Time","Nothing else is needed","Ocarina of Time"
Legend of Zelda: Ocarina of Time,"From which village does Impa come from","Kakariko","Hateno","Castle Town","Gerudo Desert","Kakariko"
Legend of Zelda: Ocarina of Time,"What is the name of the object that increases max health","Heart Container","Heart Stone","Heart Gem","Heart Crystal","Heart Container"
Legend of Zelda: Ocarina of Time,"When did the game release","1998","1999","1997","1996","1998"
Legend of Zelda: Ocarina of Time,"What does the red tunic allow you to do","Pick up Boulders","Resist Fire","Shoot Fireballs","Take Less Damage","Resist Fire"
Legend of Zelda: Ocarina of Time,"What does the blue tunic allow you to do","Breath Underwater","Freeze Things","Swim Faster","Sink","Breath Underwater"
Legend of Zelda: Ocarina of Time,"What is the name of the harder difficulty unlocked by beating the game","Hard Mode","Master Mode","Expert Mode","Challenge Mode","Master Mode"
Legend of Zelda: Ocarina of Time,"Which of these is not a color that matches one of the Poe Sisters","Green","Blue","Purple","Yellow","Yellow"
Legend of Zelda: Ocarina of Time,"Which of these characters is a grave keeper","Dampé","Impa","Darunia","George","Dampé"
yes,"yes?","yes","yes","yes","yes","yes"
